# E_eV,sigma_cm2
# H electron impact ionization cross section
# E_eV: beam energy [eV]  sigma_cm2: cross section [cm^2]
1.419248075134614737e+02,4.754009882227244598e-17
1.425364791284571027e+02,4.747586055265844395e-17
1.431507869433613109e+02,4.741165762852190906e-17
1.437677423197442579e+02,4.734748519546890221e-17
1.443873566681424734e+02,4.728333843316157719e-17
1.450096414482700027e+02,4.721921255460366371e-17
1.456346081692302334e+02,4.715510280819321294e-17
1.462622683897289164e+02,4.709100447638444284e-17
1.468926337182877546e+02,4.702691287793262681e-17
1.475257158134592146e+02,4.696282336643218648e-17
1.481615263840421335e+02,4.689873133131497674e-17
1.488000771892982925e+02,4.683463219916960625e-17
1.494413800391698430e+02,4.677052143204427102e-17
1.500854467944977841e+02,4.670639453025323803e-17
1.507322893672412931e+02,4.664224703063394948e-17
1.513819197206980505e+02,4.657807450821280736e-17
1.520343498697255029e+02,4.651387257533845570e-17
1.526895918809630928e+02,4.644963688329586391e-17
1.533476578730553683e+02,4.638536312184098513e-17
1.540085600168762596e+02,4.632104701998481002e-17
1.546723105357539509e+02,4.625668434591043777e-17
1.553389217056971461e+02,4.619227090720848328e-17
1.560084058556220441e+02,4.612780255142175478e-17
1.566807753675803667e+02,4.606327516664863382e-17
1.573560426769883236e+02,4.599868468170638801e-17
1.580342202728566576e+02,4.593402706551720915e-17
1.587153206980216282e+02,4.586929832897267985e-17
1.593993565493769609e+02,4.580449452371152597e-17
