# eps,sigma_cm2
# He electron impact ionization cross section (a_11s coefficients)
# eps = E_beam/IE_He (dimensionless)  sigma_cm2: cross section [cm^2]
4.314762451685983713e+00,3.755234653898200817e-17
4.330792287698757015e+00,3.757141409811227895e-17
4.346881676385743631e+00,3.758992353906988388e-17
4.363030838991940996e+00,3.760787634090499929e-17
4.379239997584296162e+00,3.762527400512575314e-17
4.395509375054756696e+00,3.764211805536165884e-17
4.411839195123345547e+00,3.765841003702868829e-17
4.428229682341226159e+00,3.767415151699540498e-17
4.444681062093798651e+00,3.768934408325084126e-17
4.461193560603792463e+00,3.770398934457358347e-17
4.477767404934382078e+00,3.771808893020250268e-17
4.494402822992308977e+00,3.773164448950900759e-17
4.511100043531011572e+00,3.774465769167066569e-17
4.527859296153772917e+00,3.775713022534673490e-17
4.544680811316883506e+00,3.776906379835497710e-17
4.561564820332801418e+00,3.778046013735040688e-17
4.578511555373335540e+00,3.779132098750550087e-17
4.595521249472843905e+00,3.780164811219217586e-17
4.612594136531430244e+00,3.781144329266554186e-17
4.629730451318165407e+00,3.782070832774932536e-17
4.646930429474315005e+00,3.782944503352308591e-17
4.664194307516575932e+00,3.783765524301132487e-17
4.681522322840336869e+00,3.784534080587420877e-17
4.698914713722932568e+00,3.785250358810035728e-17
4.716371719326926559e+00,3.785914547170129521e-17
4.733893579703400079e+00,3.786526835440791978e-17
4.751480535795250759e+00,3.787087414936883530e-17
4.769132829440504651e+00,3.787596478485054900e-17
4.786850703375648663e+00,3.788054220393960831e-17
4.804634401238959462e+00,3.788460836424680261e-17
4.822484167573857228e+00,3.788816523761317702e-17
4.840400247832273628e+00,3.789121480981812913e-17
4.858382888378017128e+00,3.789375908028939178e-17
4.876432336490166719e+00,3.789580006181523436e-17
4.894548840366476306e+00,3.789733978025844524e-17
4.912732649126777318e+00,3.789838027427247750e-17
4.930984012816410633e+00,3.789892359501959750e-17
4.949303182409668267e+00,3.789897180589122757e-17
4.967690409813235064e+00,3.789852698223006969e-17
4.986145947869662365e+00,3.789759121105462672e-17
