# T_eV,rate_cm3_s
# He electron-impact ionization rate averaged over a 3D Maxwellian
# Generated with He_EII_cross, a_11s, and E_ion
2.860595535175741944e+00,7.533585820967485249e-13
2.880444153396296336e+00,8.028052146446436063e-13
2.900430493863991543e+00,8.551469234137303082e-13
2.920555512182746671e+00,9.105307693038355865e-13
2.940820170587062243e+00,9.691099907844412765e-13
2.961225437988034503e+00,1.031044197579047141e-12
2.981772290019671701e+00,1.096499567504570714e-12
3.002461709085549213e+00,1.165649046401738529e-12
3.023294684405777755e+00,1.238672551087350594e-12
3.044272212064302874e+00,1.315757175254535576e-12
3.065395295056526859e+00,1.397097398242131225e-12
3.086664943337273037e+00,1.482895296589549466e-12
3.108082173869064047e+00,1.573360758288441525e-12
3.129648010670751823e+00,1.668711699637898695e-12
3.151363484866479325e+00,1.769174284604906503e-12
3.173229634734976212e+00,1.874983146587100003e-12
3.195247505759212014e+00,1.986381612470272374e-12
3.217418150676371713e+00,2.103621928868183086e-12
3.239742629528197249e+00,2.226965490428006890e-12
3.262222009711670090e+00,2.356683070079969065e-12
3.284857366030043746e+00,2.493055051105448787e-12
3.307649780744240875e+00,2.636371660893583094e-12
3.330600343624588788e+00,2.786933206251947341e-12
3.353710152002930656e+00,2.945050310133172155e-12
3.376980310825091536e+00,3.111044149635032013e-12
3.400411932703705897e+00,3.285246695127836394e-12
3.424006137971423946e+00,3.468000950359328700e-12
3.447764054734464345e+00,3.659661193383337917e-12
3.471686818926561280e+00,3.860593218155581319e-12
3.495775574363275240e+00,4.071174576636149241e-12
3.520031472796679051e+00,4.291794821235369554e-12
3.544455673970433818e+00,4.522855747436837838e-12
3.569049345675229468e+00,4.764771636428219736e-12
3.593813663804627634e+00,5.017969497568404834e-12
3.618749812411280242e+00,5.282889310516510886e-12
3.643858983763544224e+00,5.559984266846460858e-12
3.669142378402491911e+00,5.849721010968546603e-12
3.694601205199302463e+00,6.152579880177352485e-12
3.720236681413067625e+00,6.469055143644253892e-12
3.746050032748993175e+00,6.799655240170643288e-12
3.772042493416997377e+00,7.144903014516945932e-12
3.798215306190734442e+00,7.505335952121759560e-12
3.824569722466999000e+00,7.881506412023625914e-12
3.851107002325570683e+00,8.273981857798644788e-12
3.877828414589457484e+00,8.683345086325298662e-12
3.904735236885560123e+00,9.110194454188526495e-12
3.931828755705768064e+00,9.555144101534804910e-12
3.959110266468458761e+00,1.001882417318966222e-11
3.986581073580440560e+00,1.050188103685038521e-11
4.014242490499322358e+00,1.100497749816646693e-11
4.042095839796307821e+00,1.152879301252128729e-11
4.070142453219436796e+00,1.207402389332998037e-11
4.098383671757261482e+00,1.264138351666905775e-11
4.126820845702954266e+00,1.323160252205485345e-11
4.155455334718875626e+00,1.384542900919015809e-11
4.184288507901582577e+00,1.448362873049922416e-11
4.213321743847286527e+00,1.514698527927394485e-11
4.242556430717777438e+00,1.583630027325634653e-11
4.271993966306778745e+00,1.655239353348375654e-11
4.301635758106795215e+00,1.729610325822784806e-11
4.331483223376400460e+00,1.806828619185877025e-11
4.361537789208003169e+00,1.886981778847073401e-11
4.391800892596085859e+00,1.970159237010744925e-11
4.422273980505899260e+00,2.056452327942864016e-11
4.452958509942654963e+00,2.145954302666405777e-11
4.483855948021188809e+00,2.238760343070295635e-11
4.514967772036099447e+00,2.334967575417161793e-11
4.546295469532399380e+00,2.434675083235641072e-11
4.577840538376618973e+00,2.537983919583091093e-11
4.609604486828433600e+00,2.644997118665367277e-11
4.641588833612779297e+00,2.755819706800441095e-11
4.673795107992461340e+00,2.870558712713169434e-11
4.706224849841281532e+00,2.989323177149074609e-11
4.738879609717653096e+00,3.112224161795228123e-11
4.771760948938745805e+00,3.239374757497090650e-11
4.804870439655131165e+00,3.370890091760343216e-11
4.838209664925955167e+00,3.506887335527474872e-11
4.871780218794630635e+00,3.647485709219224895e-11
4.905583706365048258e+00,3.792806488031521728e-11
4.939621743878320537e+00,3.942973006479108541e-11
4.973895958790064853e+00,4.098110662177555154e-11
5.008407989848209674e+00,4.258346918855735456e-11
5.043159487171358535e+00,4.423811308591636491e-11
5.078152112327673606e+00,4.594635433264515388e-11
5.113387538414325917e+00,4.770952965217368926e-11
5.148867450137495361e+00,4.952899647123904147e-11
5.184593543892910716e+00,5.140613291054740629e-11
5.220567527846974976e+00,5.334233776738396373e-11
5.256791122018421802e+00,5.533903049012632531e-11
5.293266058360561743e+00,5.739765114462815960e-11
5.329994080844090654e+00,5.951966037244073577e-11
5.366976945540476329e+00,6.170653934084736946e-11
5.404216420705915347e+00,6.395978968468965857e-11
5.441714286865890315e+00,6.628093343997204779e-11
5.479472336900286678e+00,6.867151296923170667e-11
5.517492376129125908e+00,7.113309087867224801e-11
5.555776222398877806e+00,7.366724992705849460e-11
5.594325706169377632e+00,7.627559292637900237e-11
5.633142670601354318e+00,7.895974263428612389e-11
5.672228971644543094e+00,8.172134163832673083e-11
5.711586478126432276e+00,8.456205223198585169e-11
5.751217071841614015e+00,8.748355628256553277e-11
5.791122647641758547e+00,9.048755509092853297e-11
5.831305113526221717e+00,9.357576924314114155e-11
5.871766390733255570e+00,9.674993845405005433e-11
5.912508413831877974e+00,1.000118214028396564e-10
5.953533130814370189e+00,1.033631955606134481e-10
5.994842503189408589e+00,1.068058570100505645e-10
6.036438506075866961e+00,1.103416202571945394e-10
6.078323128297229871e+00,1.139723180354279409e-10
6.120498372476699700e+00,1.176998011017018042e-10
6.162966255132942273e+00,1.215259380250812151e-10
6.205728806776500406e+00,1.254526149676792692e-10
6.248788072006891348e+00,1.294817354580536180e-10
6.292146109610343707e+00,1.336152201571383440e-10
6.335804992658251145e+00,1.378550066167977465e-10
6.379766808606282424e+00,1.422030490310797151e-10
6.424033659394190465e+00,1.466613179802583643e-10
6.468607661546323939e+00,1.512318001677554944e-10
6.513490946272802340e+00,1.559164981500285370e-10
6.558685659571431792e+00,1.607174300595273982e-10
6.604193962330305645e+00,1.656366293208115270e-10
6.650018030431118277e+00,1.706761443599294416e-10
6.696160054853218746e+00,1.758380383071657417e-10
6.742622241778342129e+00,1.811243886932528241e-10
6.789406812696109128e+00,1.865372871391633676e-10
6.836516004510238886e+00,1.920788390395858972e-10
6.883952069645496330e+00,1.977511632401958482e-10
6.931717276155404228e+00,2.035563917088374431e-10
6.979813907830660469e+00,2.094966692007232953e-10
7.028244264308349365e+00,2.155741529177769013e-10
7.077010661181889262e+00,2.217910121622280899e-10
7.126115430111745752e+00,2.281494279845829185e-10
7.175560918936924715e+00,2.346515928260886309e-10
7.225349491787214085e+00,2.412997101558105678e-10
7.275483529196228538e+00,2.480959941024486478e-10
7.325965428215230446e+00,2.550426690810131273e-10
7.376797602527734199e+00,2.621419694144830715e-10
7.427982482564914335e+00,2.693961389505742481e-10
7.479522515621821022e+00,2.768074306737419447e-10
7.531420165974371805e+00,2.843781063125393732e-10
7.583677914997190683e+00,2.921104359424665442e-10
7.636298261282245647e+00,3.000066975844304315e-10
7.689283720758309570e+00,3.080691767989444323e-10
7.742636826811269302e+00,3.163001662761990588e-10
7.796360130405233235e+00,3.247019654221226137e-10
7.850456200204509294e+00,3.332768799405692123e-10
7.904927622696424017e+00,3.420272214117578158e-10
7.959777002314981864e+00,3.509553068670882646e-10
8.015006961565404708e+00,3.600634583604677474e-10
8.070620141149502658e+00,3.693540025362669744e-10
8.126619200091946382e+00,3.788292701940433665e-10
8.183006815867393868e+00,3.884915958501506337e-10
8.239785684528515119e+00,3.983433172963673490e-10
8.296958520834905926e+00,4.083867751556693723e-10
8.354528058382866718e+00,4.186243124352669416e-10
8.412497049736117560e+00,4.290582740770429704e-10
8.470868266557406656e+00,4.396910065055112509e-10
8.529644499741021235e+00,4.505248571734180192e-10
8.588828559546250574e+00,4.615621741051204725e-10
8.648423275731722981e+00,4.728053054378506001e-10
8.708431497690723333e+00,4.842565989610053082e-10
8.768856094587430761e+00,4.959184016535744590e-10
8.829699955494087149e+00,5.077930592198283145e-10
8.890965989529158620e+00,5.198829156233979751e-10
8.952657125996395848e+00,5.321903126198482302e-10
9.014776314524917566e+00,5.447175892878884553e-10
9.077326525210228425e+00,5.574670815593189575e-10
9.140310748756228065e+00,5.704411217478445997e-10
9.203731996618220279e+00,5.836420380768718207e-10
9.267593301146877849e+00,5.970721542063967902e-10
9.331897715733239451e+00,6.107337887591153932e-10
9.396648314954695991e+00,6.246292548458604073e-10
9.461848194721996563e+00,6.387608595904851917e-10
9.527500472427290035e+00,6.531309036543111432e-10
9.593608287093141840e+00,6.677416807602370405e-10
9.660174799522645017e+00,6.825954772166467645e-10
9.727203192450541991e+00,6.976945714412086573e-10
9.794696670695396179e+00,7.130412334846844975e-10
9.862658461312820535e+00,7.286377245548569690e-10
9.931091813749794994e+00,7.444862965406931862e-10
1.000000000000000000e+01,7.605891915368327847e-10
1.006938631476027091e+01,7.769486413685329255e-10
1.013925407558815373e+01,7.935668671171697851e-10
1.020960662306046451e+01,8.104460786463797664e-10
1.028044732093309754e+01,8.275884741290020411e-10
1.035177955630176250e+01,8.449962395748500294e-10
1.042360673976401131e+01,8.626715483595005205e-10
1.049593230558227752e+01,8.806165607541362056e-10
1.056875971184804008e+01,8.988334234565696332e-10
1.064209244064724658e+01,9.173242691235826907e-10
1.071593399822671167e+01,9.360912159046110823e-10
1.079028791516183539e+01,9.551363669769582637e-10
1.086515774652538369e+01,9.744618100825751260e-10
1.094054707205742361e+01,9.940696170665222691e-10
1.101645949633656940e+01,1.013961843417257241e-09
1.109289864895222699e+01,1.034140527808758430e-09
1.116986818467822573e+01,1.054607691644684855e-09
1.124737178364751955e+01,1.075365338604584256e-09
1.132541315152811556e+01,1.096415454192282888e-09
1.140399601970033139e+01,1.117760005286582510e-09
1.148312414543511117e+01,1.139400939694281350e-09
1.156280131207375383e+01,1.161340185705709078e-09
1.164303132920876749e+01,1.183579651652791705e-09
1.172381803286598512e+01,1.206121225469772150e-09
1.180516528568805512e+01,1.228966774256709307e-09
1.188707697711903322e+01,1.252118143845773186e-09
1.196955702359042739e+01,1.275577158370519146e-09
1.205260936870842592e+01,1.299345619838159213e-09
1.213623798344240612e+01,1.323425307704942561e-09
1.222044686631488730e+01,1.347817978454783708e-09
1.230524004359261525e+01,1.372525365181132646e-09
1.239062156947915661e+01,1.397549177172285004e-09
1.247659552630869761e+01,1.422891099500128939e-09
1.256316602474120181e+01,1.448552792612459659e-09
1.265033720395903849e+01,1.474535891928978623e-09
1.273811323186478539e+01,1.500842007440975761e-09
1.282649830528059809e+01,1.527472723314893236e-09
1.291549665014884063e+01,1.554429597499763523e-09
1.300511252173408572e+01,1.581714161338636552e-09
1.309535020482667633e+01,1.609327919184135531e-09
1.318621401394748460e+01,1.637272348018111852e-09
1.327770829355429072e+01,1.665548897075607958e-09
1.336983741824946570e+01,1.694158987473113691e-09
1.346260579298909654e+01,1.723104011841232959e-09
1.355601785329368880e+01,1.752385333961885008e-09
1.365007806546013747e+01,1.782004288410020032e-09
1.374479092677536585e+01,1.811962180200050124e-09
1.384016096573131627e+01,1.842260284436974277e-09
1.393619274224142046e+01,1.872899845972311154e-09
1.403289084785873087e+01,1.903882079064971173e-09
1.413025990599533621e+01,1.935208167047025489e-09
1.422830457214351974e+01,1.966879261994583245e-09
1.432702953409831004e+01,1.998896484403747277e-09
1.442643951218157383e+01,2.031260922871757506e-09
1.452653925946781222e+01,2.063973633783449776e-09
1.462733356201129808e+01,2.097035641002980940e-09
1.472882723907501834e+01,2.130447935571037336e-09
1.483102514336104427e+01,2.164211475407473274e-09
1.493393216124251843e+01,2.198327185019508196e-09
1.503755321299738412e+01,2.232795955215582557e-09
1.514189325304351996e+01,2.267618642824834834e-09
1.524695727017574498e+01,2.302796070422409724e-09
1.535275028780422701e+01,2.338329026060506580e-09
1.545927736419476872e+01,2.374218263005387255e-09
1.556654359271061949e+01,2.410464499480286304e-09
1.567455410205595001e+01,2.447068418414322788e-09
1.578331405652118136e+01,2.484030667197543972e-09
1.589282865622977958e+01,2.521351857442018193e-09
1.600310313738700074e+01,2.559032564749197756e-09
1.611414277253019733e+01,2.597073328483478243e-09
1.622595287078087267e+01,2.635474651552059697e-09
1.633853877809861999e+01,2.674237000191219276e-09
1.645190587753662470e+01,2.713360803758923432e-09
1.656605958949913671e+01,2.752846454533974392e-09
1.668100537200059108e+01,2.792694307521626852e-09
1.679674872092653004e+01,2.832904680265767518e-09
1.691329517029648599e+01,2.873477852667760485e-09
1.703065029252844198e+01,2.914414066811868287e-09
1.714881969870539180e+01,2.955713526797467822e-09
1.726780903884355922e+01,2.997376398577947005e-09
1.738762400216250370e+01,3.039402809806404142e-09
1.750827031735725114e+01,3.081792849688224505e-09
1.762975375287205893e+01,3.124546568840441418e-09
1.775208011717634093e+01,3.167663979158094483e-09
1.787525525904235479e+01,3.211145053687473248e-09
1.799928506782476489e+01,3.254989726506321601e-09
1.812417547374237614e+01,3.299197892611130693e-09
1.824993244816152327e+01,3.343769407811363212e-09
1.837656200388170546e+01,3.388704088630843943e-09
1.850407019542302223e+01,3.434001712216182606e-09
1.863246311931559873e+01,3.479662016252310851e-09
1.876174691439121389e+01,3.525684698885233936e-09
1.889192776207666213e+01,3.572069418651842790e-09
1.902301188668943865e+01,3.618815794417013551e-09
1.915500555573527919e+01,3.665923405317838218e-09
1.928791508020777812e+01,3.713391790715079904e-09
1.942174681489026611e+01,3.761220450151927129e-09
1.955650715865949252e+01,3.809408843319886269e-09
1.969220255479171300e+01,3.857956390032039218e-09
1.982883949127071332e+01,3.906862470203499181e-09
1.996642450109793288e+01,3.956126423839120836e-09
2.010496416260498975e+01,4.005747551028583573e-09
2.024446509976803910e+01,4.055725111948624055e-09
2.038493398252462185e+01,4.106058326872667908e-09
2.052637752709252084e+01,4.156746376187666983e-09
2.066880249629081945e+01,4.207788400418214154e-09
2.081221569986339404e+01,4.259183500257996856e-09
2.095662399480433180e+01,4.310930736608408228e-09
2.110203428568594219e+01,4.363029130624527597e-09
2.124845352498882889e+01,4.415477663768272624e-09
2.139588871343421417e+01,4.468275277868769427e-09
2.154434690031884614e+01,4.521420875190037462e-09
2.169383518385184217e+01,4.574913318505740179e-09
2.184436071149426084e+01,4.628751431181252923e-09
2.199593068030074861e+01,4.682933997262794949e-09
2.214855233726359174e+01,4.737459761573711593e-09
2.230223297965938656e+01,4.792327429817957049e-09
2.245697995539773828e+01,4.847535668690521327e-09
2.261280066337277361e+01,4.903083105995066912e-09
2.276970255381679920e+01,4.958968330768487283e-09
2.292769312865648601e+01,5.015189893412483214e-09
2.308677994187169702e+01,5.071746305832169305e-09
2.324697059985647840e+01,5.128636041581487360e-09
2.340827276178291783e+01,5.185857536015639238e-09
2.357069413996727647e+01,5.243409186450276102e-09
2.373424250023866122e+01,5.301289352327497855e-09
2.389892566231050353e+01,5.359496355388703282e-09
2.406475150015424092e+01,5.418028479854022893e-09
2.423172794237598282e+01,5.476883972608566088e-09
2.439986297259550341e+01,5.536061043395183183e-09
2.456916462982790250e+01,5.595557865013813463e-09
2.473964100886814066e+01,5.655372573527437437e-09
2.491130026067788350e+01,5.715503268474355367e-09
2.508415059277538717e+01,5.775948013087009634e-09
2.525820026962784581e+01,5.836704834517065538e-09
2.543345761304648178e+01,5.897771724066795229e-09
2.560993100258459521e+01,5.959146637426760608e-09
2.578762887593800812e+01,6.020827494919543749e-09
2.596655972934869894e+01,6.082812181749717572e-09
2.614673211801092023e+01,6.145098548259743265e-09
2.632815465648020137e+01,6.207684410191863934e-09
2.651083601908538867e+01,6.270567548955966373e-09
2.669478494034320804e+01,6.333745711903154498e-09
2.688001021537604629e+01,6.397216612605204880e-09
2.706652070033241131e+01,6.460977931139623106e-09
2.725432531281027693e+01,6.525027314380306776e-09
2.744343303228365372e+01,6.589362376293837464e-09
2.763385290053169996e+01,6.653980698241086482e-09
2.782559402207125743e+01,6.718879829284352008e-09
2.801866556459195223e+01,6.784057286499645409e-09
2.821307675939470627e+01,6.849510555294325284e-09
2.840883690183304111e+01,6.915237089729781455e-09
2.860595535175741944e+01,6.981234312849163093e-09
2.880444153396297935e+01,7.047499617010173332e-09
2.900430493863991543e+01,7.114030364222590392e-09
2.920555512182745161e+01,7.180823886490737726e-09
2.940820170587063842e+01,7.247877486160547492e-09
2.961225437988034415e+01,7.315188436271250460e-09
2.981772290019673477e+01,7.382753980911684883e-09
3.002461709085549302e+01,7.450571335580888515e-09
3.023294684405776422e+01,7.518637687553184703e-09
3.044272212064302607e+01,7.586950196247418438e-09
3.065395295056526592e+01,7.655505993600347342e-09
3.086664943337274636e+01,7.724302184444187574e-09
3.108082173869063780e+01,7.793335846887985457e-09
3.129648010670750580e+01,7.862604032703005884e-09
3.151363484866479325e+01,7.932103767711788450e-09
3.173229634734976301e+01,8.001832052180889496e-09
3.195247505759213524e+01,8.071785861217285258e-09
3.217418150676371624e+01,8.141962145168135024e-09
3.239742629528195295e+01,8.212357830024033331e-09
3.262222009711669557e+01,8.282969817825488180e-09
3.284857366030043835e+01,8.353794987072547486e-09
3.307649780744242207e+01,8.424830193137613493e-09
3.330600343624588788e+01,8.496072268681109302e-09
3.353710152002928879e+01,8.567518024070136488e-09
3.376980310825091181e+01,8.639164247799849172e-09
3.400411932703705986e+01,8.711007706917480040e-09
3.424006137971425545e+01,8.783045147449043116e-09
3.447764054734464167e+01,8.855273294828369186e-09
3.471686818926559681e+01,8.927688854328654195e-09
3.495775574363275240e+01,9.000288511496171545e-09
3.520031472796679139e+01,9.073068932586159887e-09
3.544455673970435328e+01,9.146026765000863231e-09
3.569049345675229290e+01,9.219158637729387542e-09
3.593813663804625946e+01,9.292461161789564083e-09
3.618749812411280686e+01,9.365930930671453880e-09
3.643858983763544757e+01,9.439564520782536326e-09
3.669142378402494131e+01,9.513358491894510793e-09
3.694601205199302285e+01,9.587309387591421723e-09
3.720236681413065583e+01,9.661413735719272655e-09
3.746050032748993175e+01,9.735668048836781756e-09
3.772042493416997644e+01,9.810068824667275548e-09
3.798215306190736129e+01,9.884612546551739043e-09
